REPORT NAME,COUNTRY,SECTORS,DATE,LESSONS,REPORT TYPE,REPORT RATING,LINK
Tajikistan: Power Rehabilitation Project,Tajikistan,Energy,30-04-11,"1. For lessons to be useful during project implementation, they need to be taken into account during the formulation and design stage. Listing lessons learned in the report and recommendation of the President is not enough. For example, the implementation of the Power Rehabilitation Project in Tajikistan would have benefited if at least some of the past  lessons were taken into account during its formulation and design. Many of the implementation problems arose because of the executing agency's (Barki Tajik) unfamiliarity with ADB's procurement procedures, and the appraisal mission was well aware that such unfamiliarity has delayed the start of many projects in Central Asia. These problems would have been avoided had this been taken into account in  the project's design and the executing agency provided the necessary familiarization training on ADB procurement procedures. [Main text, pages 4, 8]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Design: Project design
Sector Related Issues: Energy planning/management",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/tajikistan-power-rehabilitation-project
Tajikistan: Microfinance Systems Development Program [Loan 2000-2001-TAJ],Tajikistan,Finance,06-12-10,"The Microfinance Systems Development Program experience underpins the need for adequate advisory services to help prepare required legal and regulatory changes to speed up program implementation. The program also shows the benefits of integrated approaches to microfinance development support that promote capacity development of microfinance institutions in conjunction with necessary reforms in the underlying policy environment. [Main text, page 9, section E(2)]

project cycle stage: Design

Lesson Topics: 
Finance & Financial Aspects: Financing
Methodologies/Approaches: Program Approach",Validation of Project/Program Completion Report,Highly successful,http://www.adb.org/documents/tajikistan-microfinance-systems-development-program-loan-2000-2001-taj
Uzbekistan: Small and Microfinance Development Project,Uzbekistan,Finance,27-12-12,"1. Poverty intervention projects such as the project need to be clear on the mechanisms for ensuring participation of the poor. [Main text, para. 32(i)]

project cycle stage: Design, Implementation

Lesson Topics: 
Finance & Financial Aspects: Financing
Sector Related Issues: Industry and Trade
Methodologies/Approaches: Participatory approach

2. The definition of microfinance at appraisal in the context of Uzbekistan should have been given upfront to provide overall guidance in the project design. [Main text, para. 32(ii)]

project cycle stage: Design Appraisal

Lesson Topics: 
Finance & Financial Aspects: Financing
Project Design: Project design
Sector Related Issues: Industry and Trade

3. The use of credit lines is not adequate in meeting long-term development needs and constraints of the sector. [Main text, para. 32(iii)]

project cycle stage: Implementation, Operation

Lesson Topics: 
Finance & Financial Aspects: Financing
Sector Related Issues: Industry and Trade

4. The selection of appropriate institutions is crucial in targeting poor and low-income households. Commercial banks are constrained to reach large numbers of poor households due to inherent rigidities of bank regulations and policies. [Main text, para. 32(iv)]

project cycle stage: Implementation, Operation

Lesson Topics: 
Finance & Financial Aspects: Financing
Sector Related Issues: Industry and Trade

5. Capacity building is needed in enabling institutions to reach the poor with demand driven products and services. [Main text, para. 32(v)]

project cycle stage: Implementation

Lesson Topics: 
Finance & Financial Aspects: Financing
Capacity Development: Capacity building
Sector Related Issues: Industry and Trade",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/uzbekistan-small-and-microfinance-development-project
Uzbekistan: Urban Water Supply Project,Uzbekistan,Water and Other Urban Infrastructure and Services,10-12-12,"If the executing agency's limited relevant experience of project design and implementation is known at the outset at the project design stage (i.e., as confirmed in the risk assessment), it is necessary to design appropriate mitigation strategies. These could include the following: (i) design smaller pilot projects to gain experience before larger projects are tackled; or (ii) make significant consultant support available in the early stages of implementation to strengthen capacity and ensure timely implementation. [Main text, para. 32]

project cycle stage: Design

Lesson Topics:",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/uzbekistan-urban-water-supply-project
Uzbekistan: Second Textbook Development Project,Uzbekistan,Education,01-01-12,"1. This validation emphasizes that institutional capacity building is critical in monitoring and evaluating the project. Policymakers need to be able to monitor the results and impact of the intervention in order to track the success of a reform project. ADB should continue working with the government to support the education sector reforms in Uzbekistan. [Main text, para. 24]

project cycle stage: Implementation

Lesson Topics: 
Monitoring & Evaluation: Impact evaluation
Capacity Development: Capacity development
Sector Related Issues: Education
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform

2. Another lesson from this project is that development of textbooks and related teaching aids needs to be meticulously synchronized with the new curriculum development in order to avoid any delays and lost time. [Main text, para. 24]

project cycle stage: Implementation

Lesson Topics: 
Project Management: Project supervision
Sector Related Issues: Education",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/uzbekistan-second-textbook-development-project
Uzbekistan: Ak Altin Agricultural Development Project,Uzbekistan,"Agriculture, Natural Resources, and Rural Development",01-12-11,"1. Success of reforms largely depend on support by recruited champions from all stakeholder groups  (including the upper levels of government) to a defined reform roadmap. In the case of the Ak Altin Agricultural Development Project in Uzbekistan, donors were keen to free up agriculture, and while the government in principle agreed, it was nonetheless extremely cautious about reforms. The government continued to operate at its own pace, and was almost immune to international pressure, which affected the achievement of reforms. [Main text, para. 25]

project cycle stage: Design, Country Partnership Strategy

Lesson Topics: 
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform

2. In establishing viable private agricultural services institutions in transition economy, it is important that the target farmers' willingness to avail of these services (in the short and long term) and their capacity to pay are assessed and considered during project design and implementation. Under the Ak Altin Agricultural Development Project in Uzbekistan, the Rural Business Advisory Center (RBAC) and the Machinery and Tractor Pool (MTL) were intended to be self-sufficient by project end. This is unlikely to happen for the MTL as the institution's targeted small cash-strapped farmers are inherently the most challenged to make payments for availed services. Likewise, comments from target farmers indicate that demand for services from the RBAC are only confined during the early stages of the project. [PVR main text, paras. 16, 26; see also PCR Main text, paras. 11, 27]

project cycle stage: Design, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Sustainability
Country Context: Transition",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/uzbekistan-ak-altin-agricultural-development-project
Uzbekistan: Education Sector Development Program,Uzbekistan,Education,30-04-11,"1. A strategy that can help avoid program implementation delays is the careful and realistic selection of policy interventions and to implement these in a phased manner. The Education Sector Development Program in Uzbekistan, being the first to be implemented in the country, encountered implementation delays because some of its aspects were too ambitious and should have been done sequentially. [Main text, pages 6, 8]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Design: Project design
Sector Related Issues: Education",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/uzbekistan-education-sector-development-program
Uzbekistan: Grain Productivity Improvement Project [Loan 2017-UZB],Uzbekistan,"Agriculture, Natural Resources, and Rural Development, Finance",30-09-10,"This validation notes that the lesson regarding policy reform failed to emphasize the need for all parties, particularly those at the provincial and district levels, to be fully committed to the reform agenda. Support for reform at the central level is not enough. [Main text, page 8, section E(ii)]

project cycle stage: Implementation

Lesson Topics: 
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/uzbekistan-grain-productivity-improvement-project-loan-2017-uzb
Viet Nam: Small and Medium-Sized Enterprise Development Program Cluster (Subprograms 1 and 2),Viet Nam,Industry and Trade,17-12-12,"One significant lesson is the importance of monitoring the results of reform programs even after the financial closure of the program, ensuring that the government and its various implementing agencies develop a strong sense of ownership for the reform initiatives. As pointed out in para. 19, these types of small and medium enterprise reform measures would usually take much longer time to achieve real outcomes on the ground. [Main text, para. 37]

project cycle stage: Implementation

Lesson Topics: 
Monitoring &amp; Evaluation: Monitoring and evaluation
Sector Related Issues: Industry and Trade",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/viet-nam-small-and-medium-sized-enterprise-development-program-cluster-subprograms-1-and-2
Viet Nam: Agriculture Sector Development Program,Viet Nam,"Agriculture, Natural Resources, and Rural Development",10-12-12,"Program experience demonstrates that accompanying investment projects in a sector development program loan matter. ADB, in selecting the sector lending modality as a broad-based lending instrument, should give careful consideration to the choice of accompanying projects intrinsically linked with the sector performance in all its dimensions. In this instance, greater benefits could have accrued by linking research and extension to some of the allied institutions such as land tenure, land use, land distribution and classification, marketing, agricultural credit, more extensive extension training, and human resource development than to small and medium enterprises, which in the end focused substantially on nonagricultural activities. [Main text, para. 27]

project cycle stage: Design, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Harmonization
Modality: Lending modality",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/viet-nam-agriculture-sector-development-program
Viet Nam: Teacher Training Project,Viet Nam,Education,10-12-12,"Synergies between lower secondary education (LSE) curriculum development and LSE teacher training projects are important, as the new teacher training curriculum should be consistent with the LSE curriculum. [Main text, para. 30]

project cycle stage: Design

Lesson Topics: 
Capacity Development: Capacity development
Sector Related Issues: Education",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/viet-nam-teacher-training-project
Prevention and Control of Avian Influenza in Asia and the Pacific: Validation of Completion Report,,"Agriculture, Natural Resources, and Rural Development, Health",30-01-15,"ADB in-house expertise supported by a dedicated ADB team gave the leverage and made it possible to conduct dialogue with the technical and regional agencies to strengthen regional collaboration within and across the animal health and human health sectors. It provided the advantages of using a multisector approach in addressing the problems caused by emerging and reemerging infectious diseases in lieu of national and regional economic development benefits.
project cycle stage: Implementation

The PSC (project steering committee) provided prompt policy guidance and expedited decisions and actions. The needs of the countries were ascertained and their access to project resources was adequate.
project cycle stage: Implementation

The project's One Health concept emphasized the links between animal health and human health, and emerging animal and human diseases, which allowed a platform for unprecedented integration of animal, human, and ecosystem health issues to fight the threat of avian influenza. The systematic collaboration of technical agencies across disciplines, such as the FAO or Food and Agriculture Organization (veterinarians) and WHO or World Health Organization (medical doctors) and civil society organizations (community health workers), promoted this concept since the beginning of the project. ADB's financial and convening power and its high flexibility and responsiveness under the project helped build links and strengthen collaboration between WHO, the FAO, and the World Organization for Animal Health.
project cycle stage: Implementation

The urgent nature of the project due to the threat that avian influenza may become a pandemic, hampered the attempt in defining verifiable indicators for some outputs under the regional capacity building and regional coordination components. A project midterm review would have helped to review and update the DMF (design and monitoring framework).
project cycle stage: Design

This type of project faces the challenge of the early spread of the disease outpacing the gathering of scientific evidence essential in formulating containment policies. In the early days of the severe acute respiratory syndrome, the avian influenza, and the H1N1 pandemic, uncertainty stalled decision making, including the decisions on the timing of changing policy from containment to mitigation.
project cycle stage: Implementation

This validation adds another lesson related to the relevance of design and formulation. Assessment of relevance includes both the relevance of objectives and the relevance of design. The adequacy and appropriateness of project design have to be tailored to the project's ultimate objectives and complexities. The PCR (project completion report) provided weak justification of the relevance of the extension and the insufficiency of indicators.
project cycle stage: Design",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/regional-prevention-and-control-avian-influenza-asia-and-pacific
